,Timestamp,hash-rate,Watts,CO2,SO2,NOx,PM2.5
0,2020-07-15 00:00:00,118993507.769967,440.0739889526867,0.22307565472716528,0.0006907917751260169,0.0004478259679626572,4.7892733511852876e-05
1,2020-07-16 00:00:00,117268964.179098,433.69610505482194,0.21984267422387316,0.000680780300124191,0.0004413357365429088,4.7198635924724606e-05
2,2020-07-17 00:00:00,101748071.861276,376.29514997403595,0.19074584969424252,0.0005906770251077527,0.0003829236537651701,4.09517576405698e-05
3,2020-07-18 00:00:00,112095333.40649,414.56245336122413,0.21014373271399503,0.0006507458751187077,0.00042186504228366,4.51163431633394e-05
4,2020-07-19 00:00:00,112957605.201925,417.75139531015833,0.211760222965642,0.0006557516126196235,0.0004251101579935361,4.546339195690373e-05
5,2020-07-20 00:00:00,121580323.15627,449.64081479948186,0.22792512548210245,0.0007058089876287527,0.00045756131509227773,4.893387989254507e-05
6,2020-07-21 00:00:00,107783974.429318,398.6177436165642,0.20206128145576574,0.000625717187614146,0.0004056394637342911,4.338109919551893e-05
7,2020-07-22 00:00:00,124167138.542574,459.20764064628077,0.23277459623704153,0.0007208262001314943,0.0004672966622219021,4.9975026273237677e-05
8,2020-07-23 00:00:00,117268964.179098,433.69610505482194,0.21984267422387316,0.000680780300124191,0.0004413357365429088,4.7198635924724606e-05
9,2020-07-24 00:00:00,138825759.064961,513.4196537781326,0.2602549305150252,0.0008059237376470167,0.0005224636292897647,5.587485576382815e-05
10,2020-07-25 00:00:00,122442594.951705,452.82975674841606,0.22954161573374943,0.0007108147251296685,0.0004608064308021538,4.928092868610941e-05
11,2020-07-26 00:00:00,136238943.678657,503.85282793133365,0.2554054597600861,0.000790906525144275,0.0005127282821601404,5.483370938313554e-05
12,2020-07-27 00:00:00,128205972.903398,474.1444719171343,0.24034614897349074,0.000744272803310443,0.00048249660834478927,5.1600584014718754e-05
13,2020-07-28 00:00:00,121437040.395232,449.1109118041013,0.22765651506520931,0.0007049771897038294,0.00045702207776448806,4.887621117414322e-05
14,2020-07-29 00:00:00,123949530.886168,458.40286170349714,0.23236664985966224,0.00071956292466322,0.00046647770695961604,4.9887443129470386e-05
15,2020-07-30 00:00:00,113062072.092113,418.13774547278564,0.21195606575036813,0.0006563580731725335,0.00042550331378073196,4.550543798971973e-05
16,2020-07-31 00:00:00,128137015.037728,473.88944486915676,0.24021687451708373,0.0007438724829288709,0.0004822370889514959,5.1572829721682325e-05
17,2020-08-01 00:00:00,114737065.752737,424.3323787390495,0.21509615561333673,0.0006660818964787938,0.0004318070665774839,4.617959262660451e-05
18,2020-08-02 00:00:00,118087053.073985,436.72164527157724,0.22137633533927395,0.0006855295430913145,0.00044441457217098785,4.752790190037406e-05
19,2020-08-03 00:00:00,135674486.510536,501.7652945673442,0.2543472789004425,0.0007876296878070424,0.0005106039765368798,5.460652558766383e-05
20,2020-08-04 00:00:00,121437040.395232,449.1109118041013,0.22765651506520931,0.0007049771897038294,0.00045702207776448806,4.887621117414322e-05
21,2020-08-05 00:00:00,108037091.110241,399.553845673994,0.20253579616146228,0.0006271866032537524,0.00040659205539047595,4.348297407906539e-05
22,2020-08-06 00:00:00,130649505.528664,483.1813947685526,0.24492700931153666,0.0007584582178882614,0.0004916927181466238,5.25840616770095e-05
23,2020-08-07 00:00:00,127299518.207416,470.79212823602484,0.23864682958559943,0.0007390105712757407,0.00047908521255311993,5.123575240323994e-05
24,2020-08-08 00:00:00,118924549.904297,439.81896190470917,0.22294638027075825,0.0006903914547444447,0.0004475664485693638,4.7864979218816446e-05
25,2020-08-09 00:00:00,130649505.528664,483.1813947685526,0.24492700931153666,0.0007584582178882614,0.0004916927181466238,5.25840616770095e-05
26,2020-08-10 00:00:00,114901504.532898,424.94052309314196,0.21540442695716386,0.000667036511221865,0.00043242592349897706,4.624577625985355e-05
27,2020-08-11 00:00:00,129741892.842126,479.82476848805857,0.24322551905309714,0.0007531892633830079,0.0004882769643168452,5.2218763995287465e-05
28,2020-08-12 00:00:00,132269332.313077,489.17200423782776,0.2479636785151714,0.0007678617815008616,0.0004977888532321103,5.323601264454651e-05
29,2020-08-13 00:00:00,123844534.076575,458.01455173860205,0.2321698136415931,0.0007189533877746905,0.00046608255684789835,4.984518381368357e-05
30,2020-08-14 00:00:00,140694130.549579,520.3294567370535,0.26375754338874974,0.0008167701752270328,0.0005294951496163222,5.662684147540946e-05
31,2020-08-15 00:00:00,131426852.489427,486.05625898790595,0.24638429202781395,0.0007629709421282457,0.0004946182235936898,5.28969297614603e-05
32,2020-08-16 00:00:00,128056933.194826,473.59327798821494,0.24006674607838227,0.0007434075846377761,0.0004819357050400043,5.154059822911504e-05
33,2020-08-17 00:00:00,105309977.956271,389.4681562403069,0.1974233109197215,0.0006113549215771162,0.00039632870480263367,4.238536038578524e-05
34,2020-08-18 00:00:00,117947175.311024,436.2043349891455,0.221114108230089,0.000684717512166373,0.0004438881493789515,4.747160363207966e-05
35,2020-08-19 00:00:00,116262215.6637237,429.97284448930077,0.21795533525537356,0.0006749358334211394,0.00043754689010210956,4.679343786590712e-05
36,2020-08-20 00:00:00,123002054.25292504,454.89880648868035,0.2305904271542357,0.0007140625484020747,0.0004629119272094781,4.9506100930597366e-05
37,2020-08-21 00:00:00,130584372.6657766,482.9405137379826,0.24480490554045573,0.0007580801027556273,0.0004914475939552679,5.255784687837392e-05
38,2020-08-22 00:00:00,114577256.01642336,423.7413539894558,0.21479656228065797,0.0006651541546759054,0.00043120563082526734,4.6115272099734544e-05
